Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"d_IFNα(t) > 0 and d_IFNβ(t) > 0 and eventually[0,3](IFNα(t) = c(high) and IFNβ(t) = c(high)) implies globally[0,∞](IFNα(t) = c(high))",0.46356893,"d_IFNα(t) > 0 and d_IFNβ(t) > 0 and eventually[0,3](IFNα(t) = c(high) and IFNβ(t) = c(high)) implies globally[0,∞](IFNα(t) = c(high))",0.46356893,"d_IFNα(t) > 0 and d_IFNβ(t) > 0 and eventually[0,3](IFNα(t) = c(high) and IFNβ(t) = c(high)) implies globally[0,∞](IFNα(t) = c(high))",0.46356893,0,0,2
"globally[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.51059335,"globally[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.51059335,"globally[0,∞](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.51059335,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)",0.32372355,"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)",0.32372355,"eventually[0,∞](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)",0.32372355,0,0,2
"eventually[0,∞]globally(d_IFNα(t) > 0 and d_IFNβ(t) = c(low))",0.52704,"eventually[0,∞]globally(d_IFNα(t) > 0 and d_IFNβ(t) = c(low))",0.52704,"eventually[0,∞]globally(d_IFNα(t) > 0 and d_IFNβ(t) = c(low))",0.52704,0,0,2
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1]globally(IL6(t) = c(low))",0.49321368,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1]globally(IL6(t) = c(low))",0.49321368,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1]globally(IL6(t) = c(low))",0.49321368,0,0,2
"eventually[0,∞]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5083088,"eventually[0,24](IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.53472877,"eventually[0,3]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.53502345,2,0,0
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269768,0,0,2
"globally[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) implies eventually[0,∞](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.48904115,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high)) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)",0.5021685,"eventually[0,∞]globally(IFNα(t) > c(high) and IFNβ(t) > c(high)) and d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)",0.5021685,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
