S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim
N/A,N/A,0.714465,IL12(t) > c(high),N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7756728,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,0.74073505,"eventually[14,∞](IL12(t)=c(mid)) and IL12(t)=c(mid) and IL12(t)=c(mid)",N/A,N/A,N/A,N/A,N/A,N/A,0.7581854,"eventually[14,∞]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,0.70184404,"eventually[14,∞](IL12(t) > c(high)) and d_IL12(t) > d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,0.70289135,"eventually[14,∞]globally(IL12(t) = c(mid)) and eventually[14,∞](d_IL12(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.7085985,IL12(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,0.67781556,"eventually[14,∞]globally(IL12(t) = c(mid)) and d_IL12(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6954911,IL12(t) = c(mid),N/A,N/A,N/A,N/A
0.7756728,"eventually[14,∞](IL12(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7609356,"eventually[14,∞](IL12(t)=c(high))",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7513056,"eventually[14,∞](IL12(t) = c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.68511677,"eventually[14,∞](IL12(t) = c(high) and d_IL12(t) < d_c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7085985,IL12(t) = c(high),N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7116885,IL12(t) > c(high) and IL12(t) > c(low) and IL12(t) > c(mid),N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7581854,"eventually[14,∞]globally(IL12(t) = c(high))",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7085985,IL12(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.74073505,"eventually[14,∞](IL12(t)=c(mid)) and IL12(t)=c(mid) and IL12(t)=c(mid)",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7581854,"eventually[14,∞]globally(IL12(t)=c(high))",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.70184404,"eventually[14,∞](IL12(t) > c(high)) and d_IL12(t) > d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.70289135,"eventually[14,∞]globally(IL12(t) = c(mid)) and eventually[14,∞](d_IL12(t) = d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7085985,IL12(t) = c(high),N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67781556,"eventually[14,∞]globally(IL12(t) = c(mid)) and d_IL12(t) < d_c(low)",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.6954911,IL12(t) = c(mid),N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
