Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,0,0,0
"IL8(t) = c(mid) and eventually[0,3]globally(IL8(t) > c(mid))",0.46267855,"IL8(t) = c(mid) and eventually[0,3]globally(IL8(t) > c(mid))",0.46267855,0,0,1
"eventually[0,∞]globally(IL8(t) > c(mid))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid))",0.46267855,0,0,1
"eventually[0,∞](IL8(t) > c(mid)) and IL8(t) > c(mid)",0.46267855,"eventually[0,∞](IL8(t) > c(mid)) and IL8(t) > c(mid)",0.46267855,0,0,1
"eventually[0,3](IL8(t) > c(low) and d_IL8(t) = d_c(low))",0.46267855,"eventually[0,3](IL8(t) > c(low) and d_IL8(t) = d_c(low))",0.46267855,0,0,1
IL8(t) = c(low) and d_IL8(t) = 0,0.46267855,IL8(t) = c(low) and d_IL8(t) = 0,0.46267855,0,0,1
"eventually[0,3]globally(IL8(t) = c(high)) and eventually[3,6]globally(IL8(t) = c(high)) and eventually[6,9]globally(IL8(t) = c(high)) and eventually[9,12]globally(IL8(t) = c(high)) and eventually[12,15]globally(IL8(t) = c(high)) and eventually[15,18]globally(IL8(t) = c(high))",0.46267855,"eventually[0,3]globally(IL8(t) = c(high)) and eventually[3,6]globally(IL8(t) = c(high)) and eventually[6,9]globally(IL8(t) = c(high)) and eventually[9,12]globally(IL8(t) = c(high)) and eventually[12,15]globally(IL8(t) = c(high)) and eventually[15,18]globally(IL8(t) = c(high))",0.46267855,0,0,1
"eventually[0,3]globally(IL8(t)=c(high))",0.46267855,"eventually[0,3]globally(IL8(t)=c(high))",0.46267855,0,0,1
"eventually[0,3]globally(IL8(t) > c(high))",0.46267855,"eventually[0,3]globally(IL8(t) > c(high))",0.46267855,0,0,1
"eventually[0,3](IL8(t) > c(low))",0.46267855,"eventually[0,3](IL8(t) > c(low))",0.46267855,0,0,1
"globally[0,3](IL8(t) > c(high))",0.46267855,"globally[0,3](IL8(t) > c(high))",0.46267855,0,0,1
"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t) > d_c(low)",0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t) > d_c(low)",0.46267855,0,0,1
"eventually[0,3]globally(IL8(t) > c(high) and d_IL8(t) > d_c(high))",0.46267855,"eventually[0,3]globally(IL8(t) > c(high) and d_IL8(t) > d_c(high))",0.46267855,0,0,1
d_IL8(t) > d_c(low),0.46267855,d_IL8(t) > d_c(low),0.46267855,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[0,3](IL8(t) > c(low)) and globally[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) > c(high)) implies eventually[0,∞](IL8(t)=c(high))",0.46267855,"globally[0,3](IL8(t) > c(low)) and globally[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) > c(high)) implies eventually[0,∞](IL8(t)=c(high))",0.46267855,0,0,1
N/A,N/A,N/A,N/A,0,0,0
