S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S19-F0,S19-F0 sim,S19-F1,S19-F1 sim,S19-F2,S19-F2 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S24-F0,S24-F0 sim,S24-F1,S24-F1 sim,S25-F0,S25-F0 sim,S25-F1,S25-F1 sim,S25-F2,S25-F2 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim
N/A,N/A,0.46267855,"IL8(t) > c(low) and eventually[0,3]globally(IL8(t) > c(low))",,,0.46267855,"eventually[0,∞](IL8(t) > c(low)) and eventually[0,∞](IL8(t) > c(mid)) and eventually[0,∞](IL8(t) > c(high))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(high)) and d_IL8(t) = 0",,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) = c(low))",,,,,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3](IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(low))",0.46267855,"eventually[0,3]globally(IL8(t) > c(high))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(high))",N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) > c(high)) and d_IL8(t) > 0",0.46267855,"eventually[0,∞]globally(IL8(t) = c(mid)) and eventually[0,3](d_IL8(t) = 0)",N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) > c(low)) and eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[0,∞]globally(IL8(t) > c(high))",0.46267855,"eventually[0,∞]globally(IL8(t) = c(low) and d_IL8(t)=0)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and eventually[3,6]globally(IL8(t) > c(mid)) and eventually[6,9]globally(IL8(t) > c(low))",0.46267855,"eventually[0,∞](IL8(t) > c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"globally[0,3](IL8(t)=c(mid))",0.46267855,"eventually[0,∞]globally(IL8(t) > c(low)) and eventually[1,2]globally(IL8(t) > c(low)) and eventually[3,4]globally(IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3](IL8(t) = c(low)) and globally[0,∞](d_IL8(t) = d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) = c(mid)) and d_IL8(t) = d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and d_IL8(t)=0",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) = c(low))",,,0.46267855,"IL8(t) > c(mid) and eventually[0,∞]globally(IL8(t) > c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[15,∞]globally(IL8(t) > c(low))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.46267855,"eventually[0,3]globally(IL8(t) > c(mid)) and globally[0,3](IL8(t) = c(mid))",,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.46267855,"eventually[0,3]globally(d_IL8(t) > c(low)) and eventually[3,6]globally(d_IL8(t) > c(low)) and eventually[6,9]globally(d_IL8(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid)) and eventually[1,2]globally(IL8(t) > c(low)) and eventually[3,4]globally(IL8(t) > c(mid))",,,,,N/A,N/A,N/A,N/A,N/A,N/A,0.46267855,"eventually[0,∞]globally(IL8(t) > c(mid))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
