S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S3-F1,S3-F1 sim,S3-F2,S3-F2 sim,S3-F3,S3-F3 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S4-F2,S4-F2 sim,S4-F3,S4-F3 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S6-F2,S6-F2 sim,S6-F3,S6-F3 sim,S7-F0,S7-F0 sim,S7-F1,S7-F1 sim,S7-F2,S7-F2 sim,S7-F3,S7-F3 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S13-F0,S13-F0 sim,S13-F1,S13-F1 sim,S13-F2,S13-F2 sim,S13-F3,S13-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S16-F0,S16-F0 sim,S16-F1,S16-F1 sim,S16-F2,S16-F2 sim,S16-F3,S16-F3 sim,S17-F0,S17-F0 sim,S17-F1,S17-F1 sim,S17-F2,S17-F2 sim,S17-F3,S17-F3 sim
N/A,N/A,0.82059884,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and d_TNFα(t) < d_c(high)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88834536,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.69504356,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and eventually[15,∞]globally(d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.85293764,"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.868929,"eventually[1,7]globally(TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78501457,TNFα(t) > c(high) and TNFα(t) > c(high) and TNFα(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.86456716,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.71809673,"eventually[1,7](d_TNFα(t) > d_c(high)) and eventually[8,14](d_TNFα(t) > d_c(high)) and eventually[15,∞](d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89507496,"eventually[1,7]globally(TNFα(t) > c(mid) and TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",N/A,N/A,N/A,N/A,0.88062406,"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.89438105,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.8640125,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[14,∞](TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.88849235,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.90106785,"globally[1,7](TNFα(t) > c(high) and TNFα(t) < c(low))",0.85293764,"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.85293764,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.848451,"TNFα(t) = c(high) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",N/A,N/A,N/A,N/A,0.8868169,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.88834536,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",N/A,N/A,N/A,N/A,0.88849235,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85293764,"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7975247,"eventually[14,∞]globally(TNFα(t) > c(low) and d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69504356,"eventually[1,7]globally(d_TNFα(t) > d_c(high)) and eventually[8,14]globally(d_TNFα(t) > d_c(high)) and eventually[15,∞]globally(d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.85293764,"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.868929,"eventually[1,7]globally(TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78501457,TNFα(t) > c(high) and TNFα(t) > c(high) and TNFα(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,0.86456716,"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71809673,"eventually[1,7](d_TNFα(t) > d_c(high)) and eventually[8,14](d_TNFα(t) > d_c(high)) and eventually[15,∞](d_TNFα(t) < d_c(high))",N/A,N/A,N/A,N/A,N/A,N/A,0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
