Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,0
"globally[1,7](IFNβ(t) = c(low)) and eventually[8,14]globally(d_IFNβ(t) > d_c(low)) and eventually[15,∞]globally(d_IFNβ(t) > d_c(high)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5558141,"globally[1,7](IFNβ(t) = c(low)) and eventually[8,14]globally(d_IFNβ(t) > d_c(low)) and eventually[15,∞]globally(d_IFNβ(t) > d_c(high)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5558141,0
"eventually[1,7]globally(IFNβ(t) = c(low)) and eventually[8,14]globally(IFNβ(t) > c(low))",0.54024094,"eventually[1,7]globally(IFNβ(t) = c(low) and d_IFNβ(t)=0) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid)) and globally[1,7](IFNβ(t) = c(low)) and globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) = c(high))",0.5856799,1
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,0
"eventually[1,7](d_IFNβ(t)=0) and eventually[1,7](d_IFNβ(t) > c(high) and d_IFNβ(t) > c(high))",0.56724477,"eventually[1,7](d_IFNβ(t)=0) and eventually[1,7](d_IFNβ(t) > c(high) and d_IFNβ(t) > c(high))",0.56724477,0
"eventually[1,7]globally(IL1β(t) = c(mid)) and eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[14,∞]globally(IL1β(t) > c(mid))",0.4211115,"eventually[1,7]globally(IL1β(t) = c(mid)) and eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[14,∞]globally(IL1β(t) > c(mid))",0.4211115,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid) implies IFNβ(t) > c(mid)) and eventually[14,∞](IFNβ(t) > c(mid) implies IFNβ(t) > c(mid))",0.57723904,"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.59075224,1
N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) = c(mid))",0.55704,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid)) and eventually[1,7]globally(IFNβ(t) < c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid))",0.5685772,1
N/A,N/A,N/A,N/A,0
"globally[1,7](IFNβ(t) = c(mid)) and globally[1,7](IFNβ(t) > c(mid))",0.5899718,"IFNβ(t) = c(low) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(high))",0.5992187,1
