Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,7](IL6(t) = c(high)) and globally[8,inf](d_IL6(t) < 0)",0.74301165,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and eventually[7,inf]globally(d_IL6(t) < 0)",0.7327473,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[1,7](d_IL6(t) < 0)",0.7367767,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,7](IL6(t) > c(high)) and globally[7,inf](d_IL6(t) < 0)",0.74416304,N/A,N/A,N/A,N/A,0,2,0
