S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim,S18-F0,S18-F0 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S21-F0,S21-F0 sim,S22-F0,S22-F0 sim,S23-F0,S23-F0 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim
0.674816,IL1α(t) < c(low),,,,,0.674816,IL1α(t) < c(low),,,,,0.57316345,"globally[0,inf](IL1β(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,0.674816,IL1α(t) < c(low),0.67473495,IL1β(t) < c(low),0.674816,IL1α(t) < c(low),0.57373595,"globally[0,inf](IL1α(t) < c(low))",0.674816,IL1α(t) < c(low),0.67473495,IL1β(t) < c(low),N/A,N/A,N/A,N/A,0.6308896,IL1α(t) = c(low),0.57316345,"globally[0,inf](IL1β(t) < c(low))",0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.57373595,"globally[0,inf](IL1α(t) < c(low))",0.674816,IL1α(t) < c(low),0.67473495,IL1β(t) < c(low),0.67473495,IL1β(t) < c(low),0.6308896,IL1α(t) = c(low),0.674816,IL1α(t) < c(low),0.67473495,IL1β(t) < c(low),0.674816,IL1α(t) < c(low),0.56895745,"globally[0,inf](IL1α(t)=c(low))",0.674816,IL1α(t) < c(low),0.674816,IL1α(t) < c(low),0.67473495,IL1β(t) < c(low),0.67473495,IL1β(t) < c(low)
0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,0.6613215,IL1β(t) = c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.674816,IL1α(t) < c(low),,,,,0.38279587,"globally[0,inf](IL1RN(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,0.57373595,"globally[0,inf](IL1α(t) < c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.674816,IL1α(t) < c(low),,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674816,IL1α(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,0.67473495,IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6308896,IL1α(t) = c(low),,,,,0.57316345,"globally[0,inf](IL1β(t) < c(low))",,,,,0.67473495,IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
