Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269767,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) implies eventually[0,1](SARSCoV2(t) < c(low))",0.46639097,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5214976,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) and eventually[0,1](IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.5277345,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high)) implies eventually[0,1](SARSCoV2(t) < c(low))",0.46639097,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and eventually[0,1](IFNα(t)>c(mid) and IFNβ(t)>c(mid))",0.5277345,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,0,1,1
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5021812,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.526168,2,0,0
"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,N/A,N/A,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,0,1,1
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5254915,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,N/A,N/A,0,2,0
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.526168,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,"eventually[0,1]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.5269767,1,1,0
"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,"eventually[0,1](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.5012566,N/A,N/A,0,1,1
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.526168,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5254915,"eventually[0,1](d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5012566,0,2,0
"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.526168,"eventually[0,1]globally(d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5021812,"eventually[0,1]globally(d_IFNα(t) = d_c(high) and d_IFNβ(t) = d_c(high))",0.5021812,0,2,0
