Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7340436,N/A,N/A,"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7167634,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7063292,1,0,1
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,0,0,2
"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.734696,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.734696,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,0,1,1
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7063292,0,1,1
"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.72877526,"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,0,2,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.72606325,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.74061954,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.73765564,2,0,0
"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,"eventually[1,7]globally(d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low)) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and eventually[15,inf]globally(d_IL1β(t)=-d_c(low) and d_IL1Ra(t)=-d_c(low))",0.71179944,"eventually[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.70558083,2,0,0
"globally[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and globally[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and globally[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.7164585,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and eventually[15,inf](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.74061954,"globally[1,7](d_IL1β(t) > d_c(low) and d_IL1Ra(t) > d_c(low)) and globally[8,14](IL1β(t)=c(high) and IL1Ra(t)=c(high)) and globally[15,inf](d_IL1β(t) < -d_c(low) and d_IL1Ra(t) < -d_c(low))",0.6964456,1,1,0
