Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t) = c(low)) and eventually[0,14]globally(IL6(t) > c(mid) and IL1RN(t) > c(mid))",0.7280562,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,14](SARSCoV2(t) = c(low) and IL6(t) > c(high))",0.692262,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t)=c(low) and IL6(t)>c(mid))",0.682339,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[14,inf](SARSCoV2(t) < c(low) and IL6(t) > c(high))",0.680254,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t) < c(low)) and globally[0,14](IL6(t) > c(mid) and IL1RN(t) > c(mid))",0.72867066,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,14](SARSCoV2(t) = c(low)) and eventually[0,14]globally(IL6(t) > c(mid) and IL1RN(t) > c(mid))",0.7396647,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,14](SARSCoV2(t) < c(low) and IL1RN(t) > c(low))",0.73716176,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,N/A,N/A,0,2,0
"globally[0,14](SARSCoV2(t) < c(low) and IL6(t) > c(mid))",0.6868943,N/A,N/A,N/A,N/A,0,2,0
