S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S2-F3,S2-F3 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S5-F0,S5-F0 sim,S5-F1,S5-F1 sim,S5-F2,S5-F2 sim,S5-F3,S5-F3 sim,S6-F0,S6-F0 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S8-F2,S8-F2 sim,S8-F3,S8-F3 sim,S9-F0,S9-F0 sim,S10-F0,S10-F0 sim,S10-F1,S10-F1 sim,S10-F2,S10-F2 sim,S10-F3,S10-F3 sim,S11-F0,S11-F0 sim,S11-F1,S11-F1 sim,S11-F2,S11-F2 sim,S11-F3,S11-F3 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S13-F0,S13-F0 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S14-F2,S14-F2 sim,S14-F3,S14-F3 sim,S15-F0,S15-F0 sim,S15-F1,S15-F1 sim,S15-F2,S15-F2 sim,S15-F3,S15-F3 sim,S18-F0,S18-F0 sim,S18-F1,S18-F1 sim,S18-F2,S18-F2 sim,S18-F3,S18-F3 sim,S19-F0,S19-F0 sim,S20-F0,S20-F0 sim,S20-F1,S20-F1 sim,S20-F2,S20-F2 sim,S20-F3,S20-F3 sim,S21-F0,S21-F0 sim,S21-F1,S21-F1 sim,S21-F2,S21-F2 sim,S21-F3,S21-F3 sim,S24-F0,S24-F0 sim,S25-F0,S25-F0 sim,S26-F0,S26-F0 sim,S26-F1,S26-F1 sim,S26-F2,S26-F2 sim,S26-F3,S26-F3 sim
N/A,N/A,0.22845593,IL8(t)=c(low) and SARSCoV2(t) > c(mid),,,,,0.47560257,"globally[1, inf](IFNα(t)=c(mid) and IFNβ(t)=c(mid)) and eventually[1, inf](IFNα(t) < c(low) and IFNβ(t) < c(low))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.47063676,"eventually[1,5]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",,,,,,,0.5177056,"globally[1, inf](d_IFNα(t) < c(high) and d_IFNβ(t) < c(high))
",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.39267492,IL6(t)=c(low) implies d_IL6(t) < d_c(high) and d_IFNα(t) > d_c(high) implies d_IFNβ(t)=d_c(high),0.46610156,IL1β(t) < c(low) implies IFNα(t)=c(high),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4155647,d_IL1Ra(t) < d_c(low) implies d_IFNβ(t) = c(high) and d_TNFα(t) = d_c(low) and d_IL1RN(t) = 0,0.43248248,"IFNα(t) > c(high) implies IFNα(t)=c(mid) and IFNβ(t) > c(low) and eventually[1,inf]globally(IFNα(t)=c(mid) and IFNβ(t) > c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.44861108,"globally[7,16](d_IFNβ(t) < d_c(low) implies SARSCoV2(t)=c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4471465,"globally[1,inf](d_IFNα(t) < d_c(high) implies d_TNFα(t) > d_c(low))
and globally[1,inf](d_IFNβ(t) < d_c(low) implies d_IFNα(t) > d_c(low))
and globally[1,inf](d_IFNα(t) < d_c(low) implies d_IFNβ(t) > d_c(low))",0.24372777,IL1Ra(t) > c(high) and IL1β(t) > c(high) and d_IL1Ra(t) = d_c(low) and d_IL1β(t) = d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.43152398,d_IFNα(t)=d_c(low) and d_IL1β(t) < c(mid) implies d_IFNβ(t)=d_c(high) and IL1β(t) < c(mid),0.44748238,"eventually[5,18]globally(d_IFNβ(t)=d_c(low)) implies eventually[14,15](IL8(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.43707752,"eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))",0.4819724,d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.47205856,"globally[1,inf](d_IFNα(t)=d_c(high) implies d_IFNβ(t)=d_c(high))
",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.47423005,"globally[1,inf](IFNα(t) = c(low) implies d_IFNβ(t) = 0)",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.24478887,IL8(t)=c(low) implies IL1β(t) < c(low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46610156,IL1β(t) < c(low) implies IFNα(t)=c(high),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48471522,"globally[1,inf](d_IFNα(t) > d_c(high) implies d_IFNβ(t) > d_c(high))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
