S0-F0,S0-F0 sim,S0-F1,S0-F1 sim,S0-F2,S0-F2 sim,S0-F3,S0-F3 sim,S1-F0,S1-F0 sim,S1-F1,S1-F1 sim,S1-F2,S1-F2 sim,S1-F3,S1-F3 sim,S2-F0,S2-F0 sim,S2-F1,S2-F1 sim,S2-F2,S2-F2 sim,S3-F0,S3-F0 sim,S4-F0,S4-F0 sim,S4-F1,S4-F1 sim,S5-F0,S5-F0 sim,S6-F0,S6-F0 sim,S6-F1,S6-F1 sim,S7-F0,S7-F0 sim,S8-F0,S8-F0 sim,S8-F1,S8-F1 sim,S9-F0,S9-F0 sim,S9-F1,S9-F1 sim,S9-F2,S9-F2 sim,S9-F3,S9-F3 sim,S10-F0,S10-F0 sim,S11-F0,S11-F0 sim,S12-F0,S12-F0 sim,S12-F1,S12-F1 sim,S12-F2,S12-F2 sim,S12-F3,S12-F3 sim,S14-F0,S14-F0 sim,S14-F1,S14-F1 sim,S15-F0,S15-F0 sim,S16-F0,S16-F0 sim,S17-F0,S17-F0 sim
N/A,N/A,N/A,N/A,N/A,N/A,0.68248963,"globally[1,inf](IL6(t) > c(low) and d_IL6(t) < d_c(low))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.7478056,IL6(t) < c(mid) implies d_IL1β(t) = d_c(low),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3918674,IL1Ra(t)=c(mid) and d_SARSCoV2(t) < d_c(high),0.6622149,IL6(t) < c(high) and d_IL6(t) > d_c(low),N/A,N/A,0.69102275,"eventually[1, inf]globally(IL6(t) = c(high)) and d_IL6(t) < d_c(low)",0.6416644,"globally[0,inf](d_IL6(t) > 0)",N/A,N/A,0.52688813,IL6(t) = c(high) implies d_SARSCoV2(t) > d_c(high),0.66725624,IL6(t) < c(high),N/A,N/A,0.68578744,"globally[1,inf](d_IL6(t) < c(high))",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.72005033,"globally[1,inf](d_IL6(t) < c(high))
and
IL6(t)=c(high) implies d_IL6(t) < c(low)
",0.68202627,IL6(t)=c(high) and d_IL6(t) < c(low),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.69437057,"globally[0,inf](IL6(t) = c(high)) and eventually[1,inf]globally(IL6(t) < c(high))",0.7089939,"globally[1,inf](IL6(t)=c(high) implies IL6(t) > c(low))",0.642012,IL6(t) = c(high) implies d_IL6(t) < d_c(low),0.71660423,IL6(t) = c(mid) and d_IL6(t) < 0
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68578744,"globally[1,inf](d_IL6(t) < c(high))",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,0.68578744,"globally[1,inf](IL6(t) < c(high))",,,0.70856786,IL6(t)=c(high) implies IL6(t) < c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,0.65499485,"globally[1,inf](d_IL6(t) = c(mid)) implies eventually[0,inf]globally(d_IL6(t) > d_c(low))",,,,,0.71607053,"IL6(t) > c(mid) and eventually[0,inf]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,0.7091309,"globally[1,inf](d_IL6(t) > c(high)) implies eventually[1,inf](d_IL6(t) < c(mid))",0.7072661,"globally[1,inf](IL6(t) > c(high) and d_IL6(t)=d_c(low))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67116094,"globally[1,7](IL6(t) = c(high) implies d_IL6(t) < d_c(low))",,,,,,,0.44327796,d_IFNα(t) > d_c(low) implies IL1Ra(t) < c(mid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72539747,"globally[1,inf](IL6(t) = c(high) and d_IL6(t) < 0)",,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
